MouseID,AgeInDays,Phenotyping
DO-40-2047,139,grip
DO-40-2047,310,grip
DO-1D-3047,139,grip
DO-1D-3047,310,grip
DO-1D-3047,486,grip
DO-1D-3047,674,grip
DO-2D-4047,139,grip
DO-2D-4047,310,grip
DO-2D-4047,486,grip
DO-2D-4047,674,grip
DO-AL-0048,139,grip
DO-AL-0048,310,grip
DO-AL-0048,486,grip
DO-AL-0048,674,grip
DO-20-1048,139,grip
DO-20-1048,310,grip
DO-40-2048,139,grip
DO-40-2048,310,grip
DO-40-2048,486,grip
DO-40-2048,674,grip
DO-40-2048,849,grip
DO-40-2048,1038,grip
DO-1D-3048,139,grip
DO-1D-3048,310,grip
DO-1D-3048,486,grip
DO-1D-3048,674,grip
DO-1D-3048,849,grip
DO-1D-3048,1038,grip
DO-2D-4048,139,grip
DO-2D-4048,310,grip
DO-2D-4048,486,grip
DO-AL-0049,140,grip
DO-AL-0049,310,grip
DO-AL-0049,485,grip
DO-20-1049,140,grip
DO-20-1049,310,grip
DO-20-1049,485,grip
DO-20-1049,674,grip
DO-40-2049,310,grip
DO-40-2049,485,grip
DO-40-2049,674,grip
DO-1D-3049,140,grip
DO-1D-3049,310,grip
DO-1D-3049,485,grip
DO-1D-3049,674,grip
DO-1D-3049,850,grip
DO-2D-4049,140,grip
DO-2D-4049,310,grip
DO-2D-4049,485,grip
DO-2D-4049,674,grip
DO-2D-4049,850,grip
DO-AL-0050,140,grip
DO-AL-0050,310,grip
DO-AL-0050,485,grip
DO-AL-0050,674,grip
DO-AL-0050,850,grip
DO-20-1050,140,grip
DO-20-1050,310,grip
DO-20-1050,485,grip
DO-20-1050,674,grip
DO-40-2050,140,grip
DO-40-2050,310,grip
DO-40-2050,485,grip
DO-40-2050,674,grip
DO-40-2050,850,grip
DO-40-2050,1038,grip
DO-1D-3050,140,grip
DO-1D-3050,310,grip
DO-1D-3050,485,grip
DO-1D-3050,674,grip
DO-1D-3050,850,grip
DO-2D-4050,140,grip
DO-2D-4050,310,grip
DO-2D-4050,485,grip
DO-2D-4050,674,grip
DO-2D-4050,850,grip
DO-2D-4050,1038,grip
DO-AL-0051,140,grip
DO-AL-0051,310,grip
DO-AL-0051,485,grip
DO-AL-0051,674,grip
DO-AL-0051,850,grip
DO-20-1051,140,grip
DO-20-1051,310,grip
DO-20-1051,485,grip
DO-20-1051,674,grip
DO-20-1051,850,grip
DO-20-1051,1038,grip
DO-40-2051,140,grip
DO-40-2051,310,grip
DO-40-2051,485,grip
