mouse_id,AL,20,40,1D,2D
DO-2D-4049,0,0,0,0,1
DO-2D-4050,0,0,0,0,1
DO-2D-4051,0,0,0,0,1
DO-2D-4052,0,0,0,0,1
DO-2D-4053,0,0,0,0,1
DO-2D-4054,0,0,0,0,1
DO-2D-4055,0,0,0,0,1
DO-2D-4056,0,0,0,0,1
DO-2D-4057,0,0,0,0,1
DO-2D-4058,0,0,0,0,1
DO-2D-4059,0,0,0,0,1
DO-2D-4060,0,0,0,0,1
DO-2D-4061,0,0,0,0,1
DO-2D-4062,0,0,0,0,1
DO-2D-4063,0,0,0,0,1
DO-2D-4064,0,0,0,0,1
DO-2D-4065,0,0,0,0,1
DO-2D-4066,0,0,0,0,1
DO-2D-4067,0,0,0,0,1
DO-2D-4068,0,0,0,0,1
DO-2D-4069,0,0,0,0,1
DO-2D-4070,0,0,0,0,1
DO-2D-4071,0,0,0,0,1
DO-2D-4072,0,0,0,0,1
DO-2D-4073,0,0,0,0,1
DO-2D-4074,0,0,0,0,1
DO-2D-4075,0,0,0,0,1
DO-2D-4076,0,0,0,0,1
DO-2D-4077,0,0,0,0,1
DO-2D-4078,0,0,0,0,1
DO-2D-4079,0,0,0,0,1
DO-2D-4080,0,0,0,0,1
DO-2D-4081,0,0,0,0,1
DO-2D-4082,0,0,0,0,1
DO-2D-4083,0,0,0,0,1
DO-2D-4084,0,0,0,0,1
DO-2D-4085,0,0,0,0,1
DO-2D-4086,0,0,0,0,1
DO-2D-4087,0,0,0,0,1
DO-2D-4088,0,0,0,0,1
DO-2D-4089,0,0,0,0,1
DO-2D-4090,0,0,0,0,1
DO-2D-4091,0,0,0,0,1
DO-2D-4092,0,0,0,0,1
DO-2D-4093,0,0,0,0,1
DO-2D-4094,0,0,0,0,1
DO-2D-4095,0,0,0,0,1
DO-2D-4096,0,0,0,0,1
DO-2D-4097,0,0,0,0,1
DO-2D-4098,0,0,0,0,1
DO-2D-4099,0,0,0,0,1
DO-2D-4100,0,0,0,0,1
DO-2D-4101,0,0,0,0,1
DO-2D-4102,0,0,0,0,1
DO-2D-4103,0,0,0,0,1
DO-2D-4104,0,0,0,0,1
DO-2D-4105,0,0,0,0,1
DO-2D-4106,0,0,0,0,1
DO-2D-4107,0,0,0,0,1
DO-2D-4108,0,0,0,0,1
DO-2D-4109,0,0,0,0,1
DO-2D-4110,0,0,0,0,1
DO-2D-4111,0,0,0,0,1
DO-2D-4112,0,0,0,0,1
DO-2D-4113,0,0,0,0,1
DO-2D-4114,0,0,0,0,1
DO-2D-4115,0,0,0,0,1
DO-2D-4116,0,0,0,0,1
DO-2D-4117,0,0,0,0,1
DO-2D-4118,0,0,0,0,1
DO-2D-4119,0,0,0,0,1
DO-2D-4120,0,0,0,0,1
DO-2D-4121,0,0,0,0,1
DO-2D-4122,0,0,0,0,1
DO-2D-4123,0,0,0,0,1
